こんにちは！声かけてくれるのを待ってたんだ。,normal
今日は最高気温36度だって。暑いねえ,normal
最高気温は１７度が予想されます？？,normal
いやいや猛暑ですよ,normal
猛暑に備えてますか？,normal
うん、日傘さしたり、水飲んだり、クーラー入れたりしてる,normal
クーラーは快適ですね,normal
うん、会社だと朝はつけられないから死にそう,normal
会社は冷房が効きますよねえ,normal
昼間は効くね。ここはパソコンがいっぱいあるからないと大変,normal
動きが悪いです,normal
そうなの？こっちは快適だよ,normal
パソコンは使い勝手が悪いです,normal
えー、それは使い方がわかってないからだよ,normal
パソコンは調子がいいですね,normal
うん、壊れやすいけどね,normal
パソコンは気分が悪いですか,normal
気分の問題なのかもね,normal
パソコンは元気ですね,normal
うん、私のは元気。,normal
パソコンは大事ですね,normal
おはよう！気軽に声かけてね。,normal
おはようございます,normal
おはっ,normal
わたしはコンピュータ関係の仕事をしています．あなたは？,normal
旅行は好きですか？,normal
あまり好きではないです,normal
旅行は友達とがいいですか,normal
するなら，家族とかな,normal
一緒がいいですね,normal
家族と一緒に旅行がいいですね,normal
一緒はいいですね,normal
まあそうです,normal
一緒は居心地がよいですね,normal
一人旅もいいですけどね,normal
居心地が最高に良いですね,normal
まあそうです,normal
居心地が最高にイいですね,normal
家族とよく旅行に行かれるんですか,normal
旅行は寒いです,normal
それは残念だ,normal
旅行で疲れるかもしれない,normal
おはよう。声かけてくれるのを待ってたんだ。,normal
こんにちは,normal
こんにちはっ,normal
今日も暑いですね,normal
好きな食べ物はなんでしょう,normal
揚げ物が好きです,normal
揚げ物は美味しいですね,normal
暑いときはビールと揚げ物が最高ですね,normal
揚げ物は得意ですね,normal
そうなんですか。どんなものを作るんですか？,normal
揚げ物は得意ですよねえ,normal
最近ビアガーデンに行きたいと思ってるんです。,normal
人が多いですよねえ,normal
賑やかな雰囲気もビアガーデンの良さですもんね。,normal
ビアガーデンは最高なんですよねー,normal
プールがあったり緑が多いビアガーデンだと本当に最高です,normal
緑は力強いですね,normal
心が安らぎます,normal
緑が豊かですね,normal
自然が多いと豊かな感じになりますよね。,normal
緑は心地よいですね,normal
こんにちは。海へ行きたいね。,normal
こんにちは。私は川に行きたいです。,normal
川に行きたいんですか？,normal
はい,normal
おやすみなさい,normal
もうすぐお昼ですよ,normal
いいですね,normal
おなかがすきました,normal
それな,normal
今日のお昼ご飯は何ですか,normal
おなかが痛くならないかも,normal
台風が来てますね,normal
おなかを痛めます,normal
別の話をしましょう,normal
了解です。一人暮らしなんですか？,normal
そうです。寮暮らしです,normal
ところで、山梨県北杜市にあるオオムラサキセンターに、１０万匹に１匹の割合で見られる珍しい色で、水色のニホンアマガエルが展示されているそうです。,normal
それは気になりますね,normal
ニホンアマガエルが欲しいですね,normal
カエルはかわいいですよね,normal
カエルはアマガエルが可愛いですね,normal
こんにちは。海へ行きたいね。,normal
そうだね。,normal
いいなー,normal
もう海には行った？,normal
海は大丈夫です,normal
行きたくないんだ？,normal
行きましょう,normal
どっちなの？,normal
なにが,normal
海に行きたいのか、行きたくないのか,normal
朝から海に行きますよねー,normal
朝の方が涼しいからね,normal
海は一人で行きますよねー,normal
みんなで行きたいなー,normal
海にいきますよねえ,normal
今年はまだ行く計画はないんだ,normal
朝から海に行きます,normal
いってらっしゃい,normal
てらり,normal
てらり？,normal
そんなことないですよ,normal
こんにちは。声かけてくれるのを待ってたんだ。,normal
さびしかった？,normal
今日は家事が片付きましたか？,normal
掃除がまだです。,normal
家事は楽ですね,normal
僕は無精なのでなかなか手が付けられないです。,normal
家事は辛いですか,normal
ええ。,normal
えぇ,normal
好きにはなれないですね。,normal
家事から離れますよねえ,normal
ええ。,normal
うん,normal
学生時代は自炊していたんですけどね。,normal
学生時代は懐かしいですね,normal
ええ。,normal
うん,normal
もうあの頃のようには体が動かせないです。,normal
学生時代を懐かしんでますか？,normal
はい。,normal
りょーかい,normal
こんにちはー。声かけてくれるのを待ってたんだ。,normal
こんにちわ,normal
こんちゃ,normal
こんちゃって、おもしろいね,normal
今健康でいらっしゃいますか？,normal
健康ですよ、とっても。,normal
何県出身なんですか？,normal
東京都ですよ。あなたは？,normal
人口が多いです,normal
人口多いですよね。東京は魅力的だから。,normal
人口が圧倒的に多いです,normal
ええ。圧倒的だよね。密集してますね。,normal
人口は多いです,normal
多いですね。待ちは混んでますしね。,normal
待ちは良いですね,normal
良いですかね？,normal
いいのだ,normal
待つのも楽しむってことかな？,normal
すごい待ちの姿勢だ,normal
それは知らなかったよ！,normal
出待ちの列凄い,normal
こんにちは。声かけてくれるのを待ってたんだ。,normal
お腹が空きました,normal
同じく,normal
オムライスが食べたいな,normal
オムライスを食べに行きますよねー,normal
駅前に行きますか,normal
駅前までお買い物に行きます,normal
ついでにご飯も食べましょう,normal
二人で行く予定です,normal
僕も一緒にいきたいです,normal
都合が良いですね,normal
暇になったので遊びに行きたかったのですよ,normal
都合が政府に悪いですよねえ,normal
それは少し違うと思います,normal
都合で無理なんですよねー,normal
ボーリングもしたいですね,normal
ボーリングは無理ですよねー,normal
カラオケはどうですか,normal
カラオケは行くのがいいですね,normal
食後に行きましょう,normal
一人がいいですね,normal
こんにちは。熱中症に気をつけて。,normal
水分補給をこまめにします。,normal
熱中症に気をつけてたいですか？,normal
そうですね。夏ですから。,normal
熱中症に気をつけないんですか？,normal
クーラーをつけているから大丈夫かもしれませんね。,normal
クーラーは心地よいですね,normal
当たりすぎると体調を崩しますけど。,normal
クーラーは快適よねー,normal
ないよりは合ったほうが良いですね。,normal
クーラーは暑いですよねー,normal
壊れてるんじゃないですか。,normal
クーラーは暑いです,normal
暑いのはヒーターです。,normal
ヒーターは暖かいです,normal
私はコタツ派です。,normal
ヒーターは部屋を暖めるかもしれない,normal
でも電気代がかかります。,normal
電気代は安いですね,normal
そうなんですか？,normal
うん,normal
こんばんは！海へ行きたいね。,normal
もう何年も行ってないです,normal
朝から海に行きますか？？,normal
いいですけど、何日ですか？,normal
いつでも,normal
じゃあ、今週の土曜日とかはどうですか？,normal
気持ちがいいです,normal
どこの海に行きます？,normal
海は気持ちがえいです,normal
だじゃれのつもり？,normal
気持ちが落ち着くのです,normal
ちがうのね,normal
よかった,normal
何が？,normal
色々と,normal
たとえば？,normal
透明度が良いらしい,normal
最近は東京あたりの海もきれいになってきたみたいですね,normal
わあ！いいですね！,normal
潮干狩りとかはどうですか？,normal
潮干狩りは楽しいですね,normal
おはよう！声かけてくれるのを待ってたんだ。,normal
待たせてごめんね。,normal
夕食は食べましたか？,normal
野菜ジュースだけです。,normal
野菜ジュースは果物が入ってるのですか？,normal
たくさん入っています。,normal
野菜ジュースに入りますか？,normal
そうですね,normal
そうですね,normal
だから今日はお肉が食べたいです。,normal
野菜ジュースは果汁が入りますよねー,normal
果汁だけじゃ物足りなくて。,normal
砂糖を加えますよねー,normal
砂糖が多めのやつもありますね。,normal
砂糖はたっぷりですね,normal
ダイエットの意味ないですね。,normal
ダイエットは体重が減るんですよねぇ,normal
そりゃそうだ。,normal
まじか,normal
減らないと意味ないからね。,normal
ダイエットがおすすめですけどねぇ,normal
こんにちは。ちょうど退屈してたんだ。,normal
タバコは好きですか,normal
タバコは欲しいですね,normal
最近値段が高いですけれど,normal
タバコが好きですね,normal
お酒は好きですか,normal
お酒はビールが好きですね,normal
生ビールですか？瓶ビールですか？,normal
風呂上がりに飲んでるんです,normal
毎日飲むんですか？,normal
生ビールは外で飲んだりとかです,normal
他のお酒はどうですか,normal
一人で飲んだりとかです,normal
ワインは好きですか,normal
昼からワインを飲みます,normal
赤ワインが好きですか？白ワインが好きですか？,normal
白ワインは飲みやすいのが好きですね,normal
魚料理と合いますよね,normal
白ワインは大好きですね,normal
魚は好きですか,normal
魚は可愛いですね,normal
こんにちは。気軽に声かけてね。,normal
こんにちはー。,normal
はい,normal
今日は天気が良いですね。,normal
天気は爽やかなんですよねー,normal
快晴だと気持ちいいですよね。,normal
気分が清々しいですね,normal
そうですね。暑さが厳しいですが,normal
気分は爽やかですね,normal
気分はとても良いです。,normal
気分は清々しいですね,normal
夏バテしていませんか？,normal
夏バテで疲れます,normal
夏バテにはしっかり栄養をとることが必要です。,normal
栄養は体に与えます,normal
栄養が偏らないような食事を心がけたいです。,normal
栄養はおかしいですね,normal
それから睡眠をとることも大切ですね。,normal
睡眠はいいですね,normal
一日7時間の睡眠時間がよいそうです。,normal
睡眠は7時間くらいがいいですね,normal
こんばんはー。ちょうど退屈してたんだ。,normal
こんばんは、こちらもです,normal
退屈になりがちか,normal
はい,normal
おう,normal
退屈な時は何をしますか,normal
退屈で疲れるのです,normal
なぜ疲れるのですか,normal
退屈になりがちです,normal
好きな食べ物はなんですか,normal
退屈で眠いです,normal
サッカーは好きですか,normal
興味があるわけではないですね,normal
なぜですか,normal
なんとなく笑,normal
好きなスポーツはありますか,normal
スポーツは楽しいですね,normal
そうですね,normal
ですよね,normal
私もスポーツが好きです,normal
生観戦がいいですね,normal
こんばんは！声かけてくれるのを待ってたんだ。,normal
疲れたので，来ました．,normal
宇宙人はいると思いますか？,normal
いないと思います．,normal
最近気になるニュースなどはありますか？,normal
エボラが気になりますね．,normal
